year,imdb,title,test,clean_test,binary,code,decade code,average_sentiment
2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,2013FAIL,1.0,0.697992
2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,2012PASS,1.0,0.6249040000000000
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,2013FAIL,1.0,-0.082824
2013,tt1272878,2 Guns,notalk,notalk,FAIL,2013FAIL,1.0,0.9039840000000000
2013,tt0453562,42,men,men,FAIL,2013FAIL,1.0,0.8035720000000000
2013,tt1335975,47 Ronin,men,men,FAIL,2013FAIL,1.0,0.57764
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,2013FAIL,1.0,-0.5702040000000000
2013,tt2194499,About Time,ok-disagree,ok,PASS,2013PASS,1.0,0.882488
2013,tt1814621,Admission,ok,ok,PASS,2013PASS,1.0,0.7971320000000000
2013,tt1815862,After Earth,notalk,notalk,FAIL,2013FAIL,1.0,0.162616
2013,tt1800241,American Hustle,ok-disagree,ok,PASS,2013PASS,1.0,0.6722640000000000
2013,tt1322269,August: Osage County,ok,ok,PASS,2013PASS,1.0,0.6284200000000000
2013,tt1559547,Beautiful Creatures,ok,ok,PASS,2013PASS,1.0,0.6215760000000000
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,2013PASS,1.0,0.6996080000000000
2013,tt1535109,Captain Phillips,notalk,notalk,FAIL,2013FAIL,1.0,0.7558560000000000
2013,tt1939659,Carrie,ok,ok,PASS,2013PASS,1.0,0.5273440000000000
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,2013FAIL,1.0,0.8064960000000000
2013,tt1690953,Despicable Me 2,ok,ok,PASS,2013PASS,1.0,0.7676120000000000
2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,2013FAIL,1.0,0.7500880000000000
2013,tt1535108,Elysium,ok-disagree,ok,PASS,2013PASS,1.0,0.7378600000000000
2013,tt1731141,Ender&#39;s Game,men,men,FAIL,2013FAIL,1.0,0.6369240000000000
2013,tt0848537,Epic,ok-disagree,ok,PASS,2013PASS,1.0,0.6874640000000000
2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,2013PASS,1.0,0.645184
2013,tt1211956,Escape Plan,men,men,FAIL,2013FAIL,1.0,0.593956
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,2013PASS,1.0,-0.302924
2013,tt1905041,Fast and Furious 6,ok-disagree,ok,PASS,2013PASS,1.0,0.6114200000000000
2013,tt2294629,Frozen,ok,ok,PASS,2013PASS,1.0,0.8601440000000000
2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,2013PASS,1.0,0.42426
2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,2013FAIL,1.0,0.5901280000000000
2013,tt2425486,Gloria,ok,ok,PASS,2013PASS,1.0,0.7577320000000000
2013,tt1454468,Gravity,nowomen-disagree,nowomen,FAIL,2013FAIL,1.0,0.5527160000000000
2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,2013FAIL,1.0,0.17310000000000000
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,ok,PASS,2013PASS,1.0,0.548728
2013,tt1798709,Her,men-disagree,men,FAIL,2013FAIL,1.0,0.8647080000000000
2013,tt2024432,Identity Thief,men-disagree,men,FAIL,2013FAIL,1.0,0.25976000000000000
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,2013FAIL,1.0,0.3263800000000000
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,2013FAIL,1.0,0.5176000000000000
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,2013FAIL,1.0,0.40732800000000000
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,2013PASS,1.0,0.461044
2013,tt1204975,Last Vegas,notalk,notalk,FAIL,2013FAIL,1.0,0.8528840000000000
2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,2013PASS,1.0,0.7193040000000000
2013,tt2002718,Machete Kills,ok,ok,PASS,2013PASS,1.0,0.25950800000000000
2013,tt2023587,Mama,ok,ok,PASS,2013PASS,1.0,0.23735200000000000
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,2013PASS,1.0,0.688172
2013,tt1821549,Nebraska,ok-disagree,ok,PASS,2013PASS,1.0,0.884816
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,2013FAIL,1.0,0.766892
2013,tt1483013,Oblivion,men-disagree,men,FAIL,2013FAIL,1.0,0.9058720000000000
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,2013FAIL,1.0,0.033884
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,2013PASS,1.0,0.5811480000000000
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,2013FAIL,1.0,0.647196
2013,tt1980209,Pain &amp; Gain,notalk,notalk,FAIL,2013FAIL,1.0,0.4539840000000000
2013,tt1904996,Parker,ok,ok,PASS,2013PASS,1.0,0.527284
2013,tt1699755,Peeples,dubious,dubious,FAIL,2013FAIL,1.0,0.6435800000000000
